Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Andorra,0,77287,164,2020-12-25,7756.0,124804.0,1.1,,0.868,,,Europe,0.48,83.0,0.0064,0.010701392470345539,3.0,3042000.0,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Anguilla,1,15026,167,2021-12-10,1523.0,,,,,,,North America,,4.0,,0.0026263952724885093,2.0,,,,,,,,,
Argentina,2,45267449,17,2021-07-04,4535473.0,17399947.0,1.5,0.6,0.845,5.0,,South America,0.05,95904.0,0.018,0.021145313840474852,3.0,6942000.0,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Armenia,3,2964219,104,2021-10-25,296552.0,2019675.0,2.4,1.8,0.776,4.2,94.043,Asia,-0.02,6055.0,0.001,0.020418004262321616,4.0,1652000.0,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Aruba,4,106845,593,2021-05-04,10704.0,365.0,,,,,,North America,,100.0,,0.009342301943198805,2.0,,,,,,,39454.62983,,
Australia,5,25550683,3,2022-01-29,2570523.0,60840097.0,4.5,0.5,0.944,3.84,,Oceania,0.69,3718.0,0.087,0.0014463982621435404,1.0,9246000.0,2020-01-26,-25.274398,133.775136,2020-03-25,Partial,51663.36509,8.62,
Austria,6,9015361,109,2021-11-11,908903.0,102163356.0,11.2,0.7,0.922,7.37,,Europe,0.56,14273.0,0.0033,0.01570354592294227,3.0,30816000.0,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Bahrain,7,1711057,2239,2021-04-25,171370.0,3997605.0,3.5,,0.852,2.0,,Asia,0.46,624.0,0.0011,0.0036412440917313414,1.0,12045000.0,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Barbados,8,287437,668,2022-01-01,28810.0,585575.0,2.7,,0.814,5.8,88.469,North America,0.79,262.0,0.1112,0.009094064560916349,2.0,680000.0,2020-03-18,13.193887,-59.543198,2020-03-28,Full,18554.12928,7.02,
Belarus,9,9448772,47,2022-03-16,944885.0,12737896.0,8.7,,0.823,11.0,,Europe,-0.01,6688.0,0.0404,0.00707811003455447,4.0,11501600.0,2020-02-29,53.709807,27.953389,2020-04-07,Full,19994.80408,6.65,99.7
