Country,index,Population,Density,date,total_cases,extreme_poverty,human_development_index,hospital_beds_per_thousand,continent,reproduction_rate,total_deaths,stringency_index,median_age,aged_70_older,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Argentina,6,45267449,17,2021-03-29,2322611.0,0.6,0.845,5.0,South America,1.28,55611.0,71.76,31.9,7.441,191.032,5.5,76.67,0.02394331207421303,3.0,6942000.0,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Austria,9,9015361,109,2021-03-29,539541.0,0.7,0.922,7.37,Europe,1.06,9275.0,,44.4,13.748,145.183,6.35,81.54,0.017190537883126585,3.0,30816000.0,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Bahrain,12,1711057,2239,2021-03-29,142669.0,,0.852,2.0,Asia,1.12,515.0,56.48,32.4,1.387,151.689,16.52,77.29,0.0036097540460786857,1.0,12045000.0,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Belgium,16,11598451,383,2021-03-29,872936.0,0.2,0.931,5.64,Europe,1.08,22921.0,70.37,41.8,12.849,114.898,4.29,81.63,0.026257365946644427,3.0,9119000.0,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Chile,33,19144605,26,2021-03-29,984484.0,1.3,0.851,2.11,South America,1.11,23070.0,79.17,35.4,6.938,127.993,8.46,80.18,0.02343359567042227,3.0,5723000.0,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Croatia,39,4100719,73,2021-03-29,267522.0,0.7,0.851,5.54,Europe,1.37,5911.0,43.52,44.0,13.053,253.782,5.59,78.49,0.022095379071627754,3.0,16645000.0,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Estonia,50,1326693,31,2021-03-29,104214.0,0.5,0.892,4.69,Europe,0.83,879.0,61.11,42.7,13.491,255.569,4.02,78.74,0.008434567332604065,3.0,3234000.0,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
France,55,65298930,119,2021-03-29,4615295.0,,0.901,5.98,Europe,1.14,95114.0,68.52,42.0,13.079,86.06,4.77,82.66,0.020608433480416743,4.0,89322000.0,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
Georgia,58,3987805,57,2021-03-29,280472.0,4.2,0.812,2.6,Asia,1.18,3765.0,64.81,38.7,10.244,496.218,7.11,73.77,0.013423799880201944,3.0,4757000.0,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Hungary,69,9655983,107,2021-03-29,641124.0,0.5,0.854,7.02,Europe,0.99,20161.0,,43.4,11.976,278.296,7.55,76.88,0.031446334874376876,3.0,17552000.0,2020-03-05,47.162494,19.503304,2020-03-16,Full,31102.50275,7.65,99.1
Israel,76,8678517,400,2021-03-29,832125.0,0.5,0.919,2.99,Asia,0.45,6197.0,50.93,30.6,7.359,93.32,6.74,82.97,0.007447198437734715,3.0,4121000.0,2020-02-22,31.046051,34.851612,2020-03-12,Full,39919.16965,7.61,
